  0:	proc  - (:root:) creates proc  0 (Screen)
  0:	proc  - (:root:) creates proc  1 (User)
  0:	proc  - (:root:) creates proc  2 (Server)
205:	proc  0 (Screen:1) Katsupay_spin.pml:108 (state 107)	[Screen_ch?press_fail_return_btn]
206:	proc  0 (Screen:1) Katsupay_spin.pml:111 (state 110)	[((PayType==paytype_charge))]
207:	proc  0 (Screen:1) Katsupay_spin.pml:111 (state 111)	[Screen_state = s_charge]
208:	proc  0 (Screen:1) Katsupay_spin.pml:113 (state 113)	[.(goto)]
209:	proc  1 (User:1) Katsupay_spin.pml:174 (state 75)	[((Screen_state==s_charge))]
210:	proc  0 (Screen:1) Katsupay_spin.pml:114 (state 115)	[.(goto)]
211:	proc  1 (User:1) Katsupay_spin.pml:174 (state 76)	[goto :b11]
212:	proc  1 (User:1) Katsupay_spin.pml:147 (state 39)	[((Screen_state==s_charge))]
213:	proc  0 (Screen:1) Katsupay_spin.pml:116 (state 119)	[.(goto)]
214:	proc  0 (Screen:1) Katsupay_spin.pml:60 (state 50)	[((Screen_state==s_charge))]
215:	proc  1 (User:1) Katsupay_spin.pml:147 (state 40)	[Screen_ch!press_charge_charge_btn]
215:	proc  0 (Screen:1) Katsupay_spin.pml:62 (state 51)	[Screen_ch?press_charge_charge_btn]
216:	proc  0 (Screen:1) Katsupay_spin.pml:62 (state 52)	[Screen_state = s_nfc]
217:	proc  0 (Screen:1) Katsupay_spin.pml:64 (state 54)	[.(goto)]
218:	proc  1 (User:1) Katsupay_spin.pml:148 (state 41)	[((Screen_state==s_nfc))]
219:	proc  0 (Screen:1) Katsupay_spin.pml:116 (state 119)	[.(goto)]
220:	proc  0 (Screen:1) Katsupay_spin.pml:25 (state 10)	[((Screen_state==s_nfc))]
221:	proc  0 (Screen:1) Katsupay_spin.pml:60 (state 48)	[.(goto)]
222:	proc  1 (User:1) Katsupay_spin.pml:178 (state 83)	[.(goto)]
223:	proc  1 (User:1) Katsupay_spin.pml:127 (state 8)	[((Screen_state==s_nfc))]
224:	proc  1 (User:1) Katsupay_spin.pml:134 (state 17)	[Screen_ch!nfc_pay]
224:	proc  0 (Screen:1) Katsupay_spin.pml:33 (state 19)	[Screen_ch?nfc_pay]
225:	proc  0 (Screen:1) Katsupay_spin.pml:34 (state 20)	[HTTP_ch!req_HTTP_pay]
225:	proc  2 (Server:1) Katsupay_spin.pml:184 (state 2)	[HTTP_ch?req_HTTP_pay]
226:	proc  2 (Server:1) Katsupay_spin.pml:185 (state 3)	[Server_state = HTTP_receive]
227:	proc  2 (Server:1) Katsupay_spin.pml:188 (state 5)	[HTTP_ch!fail_HTTP_pay]
227:	proc  0 (Screen:1) Katsupay_spin.pml:43 (state 28)	[HTTP_ch?fail_HTTP_pay]
228:	proc  2 (Server:1) Katsupay_spin.pml:190 (state 8)	[Server_state = HTTP_waiting]
229:	proc  2 (Server:1) Katsupay_spin.pml:206 (state 24)	[.(goto)]
230:	proc  0 (Screen:1) Katsupay_spin.pml:43 (state 29)	[Screen_state = s_fail]
231:	proc  0 (Screen:1) Katsupay_spin.pml:45 (state 31)	[.(goto)]
232:	proc  1 (User:1) Katsupay_spin.pml:138 (state 22)	[((Screen_state==s_fail))]
233:	proc  2 (Server:1) Katsupay_spin.pml:207 (state 26)	[.(goto)]
234:	proc  2 (Server:1) Katsupay_spin.pml:182 (state 1)	[((Server_state==HTTP_waiting))]
235:	proc  1 (User:1) Katsupay_spin.pml:138 (state 23)	[goto :b7]
236:	proc  0 (Screen:1) Katsupay_spin.pml:45 (state 32)	[goto :b1]
237:	proc  0 (Screen:1) Katsupay_spin.pml:106 (state 106)	[((Screen_state==s_fail))]
238:	proc  1 (User:1) Katsupay_spin.pml:171 (state 71)	[((Screen_state==s_fail))]
239:	proc  1 (User:1) Katsupay_spin.pml:171 (state 72)	[Screen_ch!press_fail_return_btn]
239:	proc  0 (Screen:1) Katsupay_spin.pml:108 (state 107)	[Screen_ch?press_fail_return_btn]
240:	proc  0 (Screen:1) Katsupay_spin.pml:111 (state 110)	[((PayType==paytype_charge))]
241:	proc  0 (Screen:1) Katsupay_spin.pml:111 (state 111)	[Screen_state = s_charge]
